commodity,region_id,season_year,year,month,month_label,ndvi_mean,ndvi_max,ndvi_min,ndvi_std,lswi_mean,lswi_max,velocity_mean,velocity_max,velocity_min,n_composites
corn,iowa_us,2019,2019,7,Jul 2019,0.7078,0.7483,0.6672,0.0574,0.2125,0.2554,0.12409,0.19357,0.0546,2
corn,iowa_us,2019,2019,8,Aug 2019,0.7714,0.7973,0.7455,0.0366,0.3144,0.3298,-0.02329,0.02338,-0.06996,2
corn,iowa_us,2019,2019,9,Sep 2019,0.6767,0.7011,0.6523,0.0345,0.2,0.2382,-0.05044,-0.01035,-0.09053,2
corn,iowa_us,2021,2021,5,May 2021,0.3642,0.4169,0.3116,0.0745,-0.1195,-0.0897,0.06236,0.08536,0.03937,2
corn,iowa_us,2021,2021,6,Jun 2021,0.5834,0.6324,0.5343,0.0694,0.0811,0.1388,0.07648,0.12541,0.02755,2
corn,iowa_us,2021,2021,7,Jul 2021,0.7349,0.7464,0.7235,0.0162,0.3018,0.3376,0.03814,0.11037,-0.03409,2
corn,iowa_us,2021,2021,8,Aug 2021,0.766,0.7789,0.7531,0.0182,0.2791,0.3022,0.02675,0.08365,-0.03016,2
corn,iowa_us,2021,2021,9,Sep 2021,0.5895,0.5961,0.583,0.0093,0.1003,0.1218,0.02563,0.08678,-0.03551,2
corn,iowa_us,2022,2022,5,May 2022,0.257,0.2779,0.2362,0.0295,-0.0598,-0.0382,0.06875,0.07687,0.06064,2
corn,iowa_us,2022,2022,6,Jun 2022,0.3716,0.4322,0.311,0.0857,0.0382,0.0983,0.07559,0.1034,0.04778,2
corn,iowa_us,2022,2022,7,Jul 2022,0.5458,0.561,0.5306,0.0215,0.2246,0.2502,0.05739,0.09024,0.02453,2
corn,iowa_us,2022,2022,8,Aug 2022,0.5185,0.5266,0.5104,0.0114,0.2151,0.2222,-0.02774,-0.01211,-0.04336,2
corn,iowa_us,2022,2022,9,Sep 2022,0.3823,0.4151,0.3495,0.0464,0.0816,0.1204,-0.06598,-0.05487,-0.07709,2
