run_timestamp,as_of_date,commodity,region_id,season_start,season_year,days_into_season,season_pct_elapsed,n_composites_to_date,latest_composite_date,current_ndvi,current_lswi,current_ndvi_velocity,peak_ndvi,peak_ndvi_date,peak_lswi,peak_lswi_date,velocity_mean,velocity_max,velocity_min,velocity_std,tercile_mean_early,tercile_mean_mid,tercile_mean_late,rs_yield_proxy,official_forecast,yield_surprise,surprise_pct,calibration_r2,calibration_n
2026-03-13 06:59 UTC,2026-03-13,wheat,rostov_ru,2026-03-01,2026,12,6.7,1,2026-03-04,0.1663,-0.0845,0.00614,0.1663,2026-03-04,-0.0845,2026-03-04,0.00614,0.00614,0.00614,,,,,,,,,,0
2026-03-14 06:54 UTC,2026-03-14,soy,mato_grosso_br,2025-10-01,2026,164,91.1,11,2026-03-10,0.3655,0.0607,0.00611,0.4974,2026-01-05,0.166,2026-02-06,0.01997,0.03991,-0.00913,0.01691,0.3721,0.4797,0.4331,,,,,,0
2026-03-14 06:53 UTC,2026-03-14,wheat,kansas_us,2026-03-01,2026,13,7.2,1,2026-03-01,0.1751,-0.1212,0.01174,0.1751,2026-03-01,-0.1212,2026-03-01,0.01174,0.01174,0.01174,,,,,,,,,,0
2026-03-14 06:55 UTC,2026-03-14,wheat,rostov_ru,2026-03-01,2026,13,7.2,1,2026-03-04,0.1663,-0.0845,0.00614,0.1663,2026-03-04,-0.0845,2026-03-04,0.00614,0.00614,0.00614,,,,,,,,,,0
2026-03-15 07:03 UTC,2026-03-15,soy,mato_grosso_br,2025-10-01,2026,165,91.7,11,2026-03-10,0.3574,0.0655,0.00611,0.4974,2026-01-05,0.166,2026-02-06,0.01997,0.03991,-0.00913,0.01691,0.3721,0.4797,0.4311,,,,,,0
2026-03-15 07:02 UTC,2026-03-15,wheat,kansas_us,2026-03-01,2026,14,7.8,1,2026-03-01,0.1873,-0.1169,0.01632,0.1873,2026-03-01,-0.1169,2026-03-01,0.01632,0.01632,0.01632,,,,,,,,,,0
2026-03-15 07:05 UTC,2026-03-15,wheat,rostov_ru,2026-03-01,2026,14,7.8,1,2026-03-04,0.1665,-0.0843,0.00614,0.1665,2026-03-04,-0.0843,2026-03-04,0.00614,0.00614,0.00614,,,,,,,,,,0
2026-03-16 07:24 UTC,2026-03-16,soy,mato_grosso_br,2025-10-01,2026,166,92.2,11,2026-03-10,0.4474,0.1246,0.00672,0.4974,2026-01-05,0.166,2026-02-06,0.02002,0.03991,-0.00913,0.01686,0.3721,0.4797,0.4536,,,,,,0
2026-03-16 07:24 UTC,2026-03-16,wheat,kansas_us,2026-03-01,2026,15,8.3,1,2026-03-01,0.1905,-0.1172,0.02549,0.1905,2026-03-01,-0.1172,2026-03-01,0.02549,0.02549,0.02549,,,,,,,,,,0
2026-03-16 07:26 UTC,2026-03-16,wheat,rostov_ru,2026-03-01,2026,15,8.3,1,2026-03-04,0.1653,-0.0869,0.00659,0.1653,2026-03-04,-0.0869,2026-03-04,0.00659,0.00659,0.00659,,,,,,,,,,0
